"","x","y","ISO3","HV001","REGCODE","IsRural","cattle","goat","sheep","chicken"
"1627",35.12757,1.267604,"KEN",1044,5,0,0.739130434782609,0.260869565217391,0.521739130434783,0.869565217391304
"1628",35.110182,1.252731,"KEN",1045,5,0,0.05,0,0,0.05
"1629",35.104116,1.289616,"KEN",1046,5,1,0.727272727272727,0.0909090909090909,0.363636363636364,0.727272727272727
"1630",35.105652,1.245239,"KEN",1047,5,0,0.315789473684211,0.157894736842105,0.105263157894737,0.210526315789474
"1631",35.077102,1.195544,"KEN",1048,5,1,0.666666666666667,0.0416666666666667,0.25,0.791666666666667
"1632",35.082077,1.183623,"KEN",1049,5,0,0.434782608695652,0.0869565217391304,0.347826086956522,0.652173913043478
"1633",35.093977,1.250327,"KEN",1050,5,0,0.136363636363636,0.0909090909090909,0.0454545454545455,0.363636363636364
"1634",35.073936,1.514052,"KEN",1051,5,1,0.91304347826087,1,0.608695652173913,0.826086956521739
"1635",34.993109,1.348723,"KEN",1052,5,1,0.681818181818182,0.772727272727273,0.545454545454545,0.772727272727273
"1636",35.194855,1.696733,"KEN",1053,5,1,0.863636363636364,0.863636363636364,0.772727272727273,0.590909090909091
"1637",35.240479,1.564917,"KEN",1054,5,1,0.681818181818182,0.636363636363636,0.636363636363636,0.818181818181818
"1638",35.234057,1.482122,"KEN",1055,5,1,0.84,0.88,0.76,0.92
"1639",35.190288,1.347687,"KEN",1056,5,1,0.739130434782609,0.565217391304348,0.608695652173913,0.869565217391304
"1640",35.0772,2.130217,"KEN",1058,5,1,0.9,0.8,0.3,0.8
"1641",35.094559,1.700783,"KEN",1059,5,1,0.91304347826087,0.869565217391304,0.478260869565217,0.826086956521739
"1642",35.02899,1.558596,"KEN",1060,5,1,0.909090909090909,0.863636363636364,0.454545454545455,0.863636363636364
"1643",35.31148,2.099314,"KEN",1061,5,1,0.923076923076923,0.769230769230769,0.461538461538462,0.583333333333333
"1644",35.307474,1.264646,"KEN",1062,5,1,0.84,0.2,0.28,0.84
"1645",35.320424,1.256406,"KEN",1063,5,1,0.863636363636364,0.772727272727273,0.454545454545455,0.818181818181818
"1646",35.438193,1.388589,"KEN",1064,5,1,0.916666666666667,0.5,0.416666666666667,0.956521739130435
"1647",35.480882,1.340074,"KEN",1065,5,1,0.708333333333333,0.625,0.166666666666667,0.958333333333333
"1648",35.45933,1.422657,"KEN",1067,5,1,0.272727272727273,0.545454545454545,0.0909090909090909,0.545454545454545
"1649",35.382101,1.457789,"KEN",1068,5,1,0.521739130434783,0.739130434782609,0.173913043478261,0.695652173913043
"1650",35.351172,1.301471,"KEN",1069,5,1,0.421052631578947,0.157894736842105,0.421052631578947,0.421052631578947
"1651",35.458152,1.237212,"KEN",1070,5,1,0.958333333333333,0.125,0.916666666666667,0.625
"1652",35.61357,1.318524,"KEN",1071,5,1,0.476190476190476,0.714285714285714,0.285714285714286,0.571428571428571
"1653",35.687462,1.404699,"KEN",1072,5,1,0.866666666666667,0.933333333333333,0.866666666666667,0.6
"1654",36.699215,1.10002,"KEN",1073,5,0,0.05,0.05,0.05,0.1
"1655",36.704229,1.096313,"KEN",1074,5,0,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.217391304347826
"1656",36.701646,1.109832,"KEN",1075,5,0,0.2,0.1,0.2,0.2
"1657",36.692565,1.103986,"KEN",1076,5,1,0.5,0.5,0.75,0.708333333333333
"1658",36.719993,1.074208,"KEN",1077,5,0,0.545454545454545,0.545454545454545,0.454545454545455,0.227272727272727
"1659",36.727228,1.051303,"KEN",1078,5,1,0.8,0.64,0.84,0.6
"1660",36.711134,1.071623,"KEN",1079,5,1,0.3,0.35,0.4,0.25
"1661",36.514161,1.194558,"KEN",1080,5,1,0.76,0.76,0.88,0.52
"1662",36.949102,0.972604,"KEN",1081,5,1,0.869565217391304,1,0.956521739130435,0.0869565217391304
"1663",36.670585,1.278136,"KEN",1082,5,1,1,0.708333333333333,0.833333333333333,0.166666666666667
"1664",36.690853,0.996707,"KEN",1083,5,1,0.72,0.76,0.88,0.52
"1665",36.924679,0.752066,"KEN",1084,5,1,0.72,0.88,0.76,0.48
"1666",36.8251,0.836337,"KEN",1085,5,1,0.5,0.739130434782609,0.869565217391304,0.272727272727273
"1667",36.839895,1.004152,"KEN",1086,5,1,0.826086956521739,0.652173913043478,0.869565217391304,0.521739130434783
"1668",36.511651,0.940233,"KEN",1087,5,1,0.818181818181818,0.590909090909091,0.863636363636364,0.681818181818182
"1669",37.350936,0.971251,"KEN",1088,5,0,0.521739130434783,0.565217391304348,0.391304347826087,0.652173913043478
"1670",37.327215,0.969764,"KEN",1089,5,0,0.12,0.12,0.16,0.24
"1671",37.361626,1.047499,"KEN",1090,5,1,0.291666666666667,0.541666666666667,0.333333333333333,0.416666666666667
"1672",37.260932,0.915885,"KEN",1091,5,1,0.7,1,1,0.7
"1673",37.217052,1.08936,"KEN",1092,5,1,0.772727272727273,0.954545454545455,0.772727272727273,0.363636363636364
"1674",37.148442,1.179216,"KEN",1093,5,1,0.882352941176471,1,1,0.0588235294117647
"1675",37.350991,1.270667,"KEN",1094,5,1,0.956521739130435,0.869565217391304,0.739130434782609,0.652173913043478
"1676",37.844197,0.779573,"KEN",1095,5,1,0.75,0.9,0.75,0.15
"1677",37.650913,0.632382,"KEN",1096,5,0,0.12,0.24,0.2,0.08
"1678",37.437385,0.650635,"KEN",1097,5,1,0.7,1,0.95,0.25
"1679",36.799764,1.775687,"KEN",1098,5,0,0.5,0.428571428571429,0.357142857142857,0.357142857142857
"1680",36.792099,1.792303,"KEN",1099,5,0,0.652173913043478,0.869565217391304,0.739130434782609,0.521739130434783
"1681",36.86802,1.800532,"KEN",1100,5,1,0.826086956521739,0.869565217391304,0.695652173913043,0.217391304347826
"1682",37.157419,1.643007,"KEN",1101,5,1,0.666666666666667,1,0.857142857142857,0.142857142857143
"1683",36.765065,2.364527,"KEN",1103,5,1,0.739130434782609,0.91304347826087,0.782608695652174,0
"1684",36.761623,2.222477,"KEN",1104,5,1,0.666666666666667,0.833333333333333,0.625,0.291666666666667
"1685",34.992451,1.031911,"KEN",1105,5,0,0.166666666666667,0,0.125,0.166666666666667
"1686",35.034016,1.058197,"KEN",1106,5,0,0.347826086956522,0.0434782608695652,0.0869565217391304,0.739130434782609
"1687",35.02894,1.010452,"KEN",1107,5,0,0.291666666666667,0,0.0833333333333333,0.291666666666667
"1688",35.063945,1.019615,"KEN",1108,5,0,0.260869565217391,0.0434782608695652,0.0434782608695652,0.521739130434783
"1689",34.972864,1.027398,"KEN",1109,5,0,0.208333333333333,0.0833333333333333,0,0.583333333333333
"1690",34.963865,1.008514,"KEN",1110,5,0,0.217391304347826,0,0.0434782608695652,0.347826086956522
"1691",34.956608,0.973638,"KEN",1111,5,0,0.391304347826087,0,0.130434782608696,0.782608695652174
"1692",34.993303,1.03244,"KEN",1112,5,0,0.217391304347826,0.130434782608696,0.0869565217391304,0.130434782608696
"1693",34.984897,1.029719,"KEN",1113,5,0,0.208333333333333,0.0833333333333333,0.0833333333333333,0.25
"1694",34.987091,1.033163,"KEN",1114,5,0,0.16,0.08,0.16,0.28
"1695",34.990361,0.954922,"KEN",1115,5,1,0.625,0.0416666666666667,0.291666666666667,0.666666666666667
"1696",35.075361,0.967786,"KEN",1116,5,1,0.56,0.08,0.24,0.76
"1697",34.958442,0.879123,"KEN",1117,5,1,0.4,0.08,0.16,0.84
"1698",34.882885,0.854334,"KEN",1118,5,1,0.458333333333333,0,0.125,0.833333333333333
"1699",34.927399,0.91095,"KEN",1119,5,1,0.5,0.0833333333333333,0.166666666666667,0.75
"1700",34.898411,0.892985,"KEN",1120,5,0,0.208333333333333,0,0.0416666666666667,0.391304347826087
"1701",34.841444,0.822493,"KEN",1121,5,1,0.523809523809524,0,0.142857142857143,0.714285714285714
"1702",34.844944,0.956844,"KEN",1122,5,1,0.5,0.166666666666667,0.125,0.708333333333333
"1703",34.842158,0.890224,"KEN",1123,5,1,0.28,0.04,0.08,0.52
"1704",35.319788,0.927056,"KEN",1124,5,1,0.782608695652174,0.173913043478261,0.217391304347826,0.956521739130435
"1705",35.224861,0.952872,"KEN",1125,5,1,0.391304347826087,0,0.304347826086957,0.521739130434783
"1706",35.318919,0.993352,"KEN",1126,5,1,0.739130434782609,0.130434782608696,0.608695652173913,0.782608695652174
"1707",35.192775,1.063837,"KEN",1127,5,1,0.458333333333333,0.0833333333333333,0.375,0.708333333333333
"1708",35.166766,1.003081,"KEN",1128,5,1,0.727272727272727,0.0909090909090909,0.363636363636364,1
"1709",35.159264,1.178711,"KEN",1129,5,1,0.375,0,0.208333333333333,0.708333333333333
"1710",35.112086,1.056414,"KEN",1130,5,1,0.260869565217391,0,0.173913043478261,0.695652173913043
"1711",34.817012,1.178926,"KEN",1131,5,1,0.217391304347826,0.0434782608695652,0.173913043478261,0.695652173913043
"1712",34.841712,0.991116,"KEN",1132,5,1,0.347826086956522,0.0869565217391304,0.0434782608695652,0.652173913043478
"1713",34.813049,1.115357,"KEN",1133,5,1,0.333333333333333,0.125,0.458333333333333,0.625
"1714",35.014342,1.179362,"KEN",1134,5,1,0.64,0.12,0.4,0.64
